Account,date,daily_pnl,trade_count,total_volume,side_bias,win_rate,classification,value,segment
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,900880.13,-1.0,0.0,Extreme Greed,76,Whale
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,2024-11-11,393.07947,4,10229.96,-1.0,1.0,Extreme Greed,76,Retail
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-11,1479.677222,20,331422.14,0.1,1.0,Extreme Greed,76,Whale
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-11,4876.874304,172,328040.19,-0.03488372093023256,0.9518072289156626,Extreme Greed,76,Whale
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,542413.1799999999,-1.0,0.0,Extreme Greed,90,Whale
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-17,161.289904,95,33584.67,-0.05263157894736842,0.7727272727272727,Extreme Greed,90,Retail
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-17,546.624374,26,620398.38,0.38461538461538464,1.0,Extreme Greed,90,Whale
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-17,175.061007,20,19591.34,0.0,0.7,Extreme Greed,90,Retail
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,949380.0,-1.0,0.0,Extreme Greed,83,Whale
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,2024-11-18,147.410285,162,108044.6,-0.12345679012345678,0.7204301075268817,Extreme Greed,83,Retail
0x2c229d22b100a7beb69122eed721cee9b24011dd,2024-11-18,-8.138354999999999,15,5907.95,-0.06666666666666667,0.5,Extreme Greed,83,Retail
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-11-18,48.185146,6,696.74,-0.6666666666666666,0.5,Extreme Greed,83,Retail
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-11-18,3158.176614,35,942106.09,0.08571428571428572,1.0,Extreme Greed,83,Whale
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-11-18,431.960709,79,76527.12,-0.31645569620253167,1.0,Extreme Greed,83,Retail
